From Date,PM2.5,NO,NO2,NOx,NH3,SO2,CO,Ozone,Benzene,Eth-Benzene,MP-Xylene,RH,WS,WD,BP,AT,PM10
06-06-2019 00:00,14.96,39.15,22.83,61.97,15.32,5.35,0.38,13.41,4.96,5.96,20.91,67.75,1.06,292.65,1002.14,32.64,60.31
07-06-2019 00:00,13.36,38.58,24.83,63.41,18.82,6.02,0.37,10.98,6.23,6.14,20.14,71.12,0.92,287.84,1001.78,32.03,59.94
08-06-2019 00:00,15.54,38.12,23.46,61.58,11.81,7.55,0.42,11.46,5.4,5.95,19.71,71.68,1,283.9,1001.06,32.32,84.52
09-06-2019 00:00,15.31,23.71,20.91,44.63,6.78,7.11,0.3,15.63,3.74,5.7,20.19,72.14,1.16,250.21,1000.1,32.13,69.01
10-06-2019 00:00,18.01,29.98,36.81,66.79,14.6,7.27,0.48,21.39,4.09,5.59,19.11,75.69,1.47,219.14,998.54,30.74,62.52
11-06-2019 00:00,19.9,20.33,52.43,72.75,15.6,7.23,0.66,35.06,4.25,5.86,19.73,77.5,1.21,205.09,996.42,30.24,58.69
12-06-2019 00:00,18.9,18.65,28.18,46.62,12.34,7.8,0.39,20.08,1.8,3.95,12.93,78.81,3.39,137.65,997.1,28.67,61.85
13-06-2019 00:00,17.68,22.96,25.73,48.7,13.21,8.76,0.24,13.59,0.91,4.74,30.22,81.16,3.4,142.03,1000.57,28.91,81.23
14-06-2019 00:00,18.05,32.1,28.08,60.18,15.35,6.95,0.37,11.8,1.38,6.44,46.99,85.35,2.67,157.12,1001.79,28.51,57.21
15-06-2019 00:00,16.75,29.15,27.01,56.15,17.63,6.5,0.4,11.31,1.5,7.15,46.84,86.86,2.51,149.03,1003.39,28.72,48.35
16-06-2019 00:00,15.08,22.23,20.09,42.3,6.7,7.09,0.32,16.02,1.41,8.35,53.47,80.01,1.9,164.71,1005.12,30.08,58.39
17-06-2019 00:00,14.68,18.1,15.96,34.06,5.8,7.35,0.29,16.61,1.36,7.93,52.01,78.53,1.78,183.35,1005.79,30.27,59.44
18-06-2019 00:00,15.63,26.54,21.6,48.15,6.47,7.6,0.4,14.12,1.58,6.6,39.8,83.71,1.34,206.99,1003.81,28.66,53.89
19-06-2019 00:00,18.28,39.69,23.05,62.74,12.2,8.34,0.48,9.17,3.43,8.11,47.42,84.6,0.95,239.2,1003.07,28.88,58.87
20-06-2019 00:00,21.07,45.65,19.09,64.74,8.31,9.04,0.44,8.6,3.2,7.94,46.94,75.1,0.88,287.55,1004.02,31.01,96.02
21-06-2019 00:00,20.27,37.81,20.26,58.05,6.04,8.93,0.42,9.37,2.7,7.55,44.86,73.6,0.96,268.51,1003.85,31.13,83.51
22-06-2019 00:00,23.71,44.79,22.59,67.38,8.37,9.23,0.45,9.5,2.55,7.21,43.22,72.38,0.91,293.76,1002.91,31.14,110.94
23-06-2019 00:00,22.26,37.14,20.51,57.64,6.26,9.17,0.39,8.99,2.34,7.08,41.75,72.08,0.92,305.05,1002.13,31.19,98.12
24-06-2019 00:00,23.97,37.94,24.45,62.4,7.26,9.36,0.57,8.27,2.85,7.46,41.64,77.67,0.95,221.09,1003.19,29.53,85.16
25-06-2019 00:00,19.92,30.11,22.75,52.34,22.25,9.33,0.43,11.11,3.33,7.27,41.52,77.93,1.12,207.1,1004.22,29.89,54.59
26-06-2019 00:00,15.34,28.36,21,49.35,20.35,9.08,0.43,11.01,2.26,6.61,38.71,77.32,1.14,206.62,1003.81,30.13,42.79
27-06-2019 00:00,9.71,31.12,23.16,54.27,11.72,9.21,0.46,10.38,1.89,6.44,37.03,83.46,1.29,205.84,1002.73,28.94,24.47
28-06-2019 00:00,6.22,24.63,22.17,46.8,7.13,8.6,0.36,11.93,3,6.62,35.26,87.7,1.43,236.93,1002.49,27.84,21.46
29-06-2019 00:00,,,,,,,,,,,,,,,,,
30-06-2019 00:00,,,,,,,,,,,,,,,,,
01-07-2019 00:00,,,,,,,,,,,,,,,,,
02-07-2019 00:00,,,,,,,,,,,,,,,,,
03-07-2019 00:00,12,61.15,29.27,89.71,28.74,107.97,1.45,8.47,1.57,4.18,3.62,89.41,0.81,208.13,1002.67,27.36,
04-07-2019 00:00,28.22,74.73,22.16,96.29,16.05,12.53,1.17,6.94,2.54,6.72,6.32,92.53,1,199.12,1002.17,26.85,62.23
05-07-2019 00:00,16.87,53.87,23.69,77.55,11.56,11.39,0.72,6.91,2.2,6.61,7.6,91.23,1.54,216.49,1000.76,27.37,55.37
06-07-2019 00:00,11.72,23.37,21.09,44.46,5.15,10.67,0.49,11.98,1.74,3.69,5.95,91.84,1.65,223.11,999.86,27.21,46.53
07-07-2019 00:00,13.34,18.92,18.03,36.95,3.43,10.11,0.45,12.34,1.53,3.63,4.94,87.25,1.45,243.34,1000.98,28.78,61.06
08-07-2019 00:00,9.45,25.77,21.26,47.04,6.68,10.24,0.53,9.97,1.47,1.97,4.7,93.47,1.62,213.97,1002.42,27.07,40.2
09-07-2019 00:00,10,16.27,19.32,35.59,5.91,9.18,0.35,14.32,0.91,3.5,2.89,86.66,1.3,221.41,1001.66,28.55,45.73
10-07-2019 00:00,8.25,44.33,23.38,67.7,4.4,9.82,0.44,6.8,2.08,4.92,9.66,93.56,1.18,275.22,1001.86,26.41,28.7
11-07-2019 00:00,9.69,32.4,16.18,48.58,5.83,8.84,0.3,5.64,6.21,8.78,28.22,87.53,1.26,250.51,1004.09,28.45,46.42
12-07-2019 00:00,10.04,22.37,17.82,40.18,4.39,9.42,0.24,9.65,3.43,7.36,22.19,85.33,1.17,222.62,1005.59,28.67,46.85
13-07-2019 00:00,8.96,31.14,18.03,49.17,5.74,9.42,0.29,4.98,4.6,7.71,23.01,87.39,0.97,248.5,1006.65,28.2,45.73
14-07-2019 00:00,8.96,35.68,16.44,52.1,4.19,9.89,0.29,7.43,5.21,8.5,24.89,84.35,0.99,274.48,1006.21,29.01,43.48
15-07-2019 00:00,10.52,32.67,14.76,47.43,7.59,10.3,0.29,7.39,7.11,9.82,29.46,81.6,1.03,260.19,1004.88,29.6,59.74
16-07-2019 00:00,11.4,41.88,14.87,56.76,6.71,10.2,0.35,5.68,5.5,8.73,25.88,84.64,0.92,269.43,1005.65,28.86,53.93
17-07-2019 00:00,14.94,40.81,15.8,56.61,8.67,10.79,0.38,5.67,8.86,10.81,27.92,80.66,0.91,253.08,1005.44,29.65,63.6
18-07-2019 00:00,14.37,40.46,20.28,60.75,7.45,10.78,0.38,7.38,7.23,9.83,27.82,78.41,0.9,270.86,1003.7,29.93,68.1
19-07-2019 00:00,22.46,53.26,19.7,72.95,11.65,11.69,0.46,6.64,6.63,11.49,33.76,75.68,0.83,250.48,1001.86,30.52,94.66
20-07-2019 00:00,25.17,44.69,26.94,71.63,10.83,11.54,0.7,7.71,9.94,15.21,43.92,82.67,0.93,209.66,1001.12,29.05,75.7
21-07-2019 00:00,28.42,38.24,33.52,71.77,5.5,11.77,0.71,12.6,7.37,12.43,35.12,79.38,0.78,234.46,999.68,29.92,65.79
22-07-2019 00:00,12.06,23.42,27.42,50.82,7.46,10.89,0.44,18.08,5.13,9.09,26.88,80.97,1.36,202.14,998.94,29.44,34.93
23-07-2019 00:00,5.82,30.37,28.54,58.91,7.11,10.15,0.4,12.31,4.13,7.64,22.98,82.97,1.64,196.13,999.59,29.15,28.53
24-07-2019 00:00,7.74,37.31,26.73,63.99,3.4,9.35,0.48,7.81,3.96,6.07,17.36,95.9,2.64,174.04,1002.74,26.23,22.39
25-07-2019 00:00,13.37,47.02,25.81,72.82,5.6,10.43,0.52,6.5,9.1,10.42,23.08,92.93,1.07,261.28,1005.17,26.91,43.38
26-07-2019 00:00,12.19,39.69,14.43,53.36,6.39,10.63,0.4,6.45,11.04,12.77,21.37,92.02,1.6,261.83,1003.98,27.02,43.47
27-07-2019 00:00,11.67,50.58,1.51,45.87,17.7,8.86,0.38,6.72,1.27,5.82,17.96,93.94,1.55,273.83,1003.98,26.59,46.17
28-07-2019 00:00,14.65,19.4,2.05,15.41,39.21,9.84,0.35,8.51,1.22,7.2,24.02,86.61,1.1,297.08,1004.09,28.2,59.27
29-07-2019 00:00,12.9,23.67,2.82,15.75,36.48,10.09,0.45,6.23,1.04,5.93,20.49,90.29,1.24,309.57,1003.16,27.11,53.2
30-07-2019 00:00,7.7,43.06,4.63,18.66,34.7,9.17,0.39,6.79,2.46,8.1,29.05,95.26,1.77,260.67,1003.6,25.73,31.73
31-07-2019 00:00,8.54,8.89,1.32,6,43.16,9.1,0.42,4.05,2.72,8.08,27.21,89.31,1.16,276.55,1005.56,27.36,32.47
01-08-2019 00:00,7.44,23.22,2.49,18.65,32.63,9.49,0.32,6.5,1.24,5.37,18.07,87.65,1.29,274.32,1004.72,27.84,38.4
02-08-2019 00:00,6.52,18.22,1.28,16.56,29.47,8.7,0.29,6.01,0,,,95.64,1.92,246.62,1003.6,25.68,27.78
03-08-2019 00:00,4.25,9.05,1.07,7.13,24.5,8.58,0.26,8.94,0,,,96.18,2.02,249.57,1003.01,25.52,24.79
04-08-2019 00:00,6.39,15.2,0.36,10.8,22.49,8.98,0.3,8.19,0,,,97.97,2.04,227.49,1002.57,25.69,
05-08-2019 00:00,9.11,29.34,0.32,26.87,25.94,9.47,0.32,6.13,0,,,91.56,1.39,252.37,1002.16,27.15,56.77
06-08-2019 00:00,8.79,47.6,0.16,44.28,26,9.6,0.36,4.39,0,,,90.13,1.15,273.37,1001.72,27.21,43.31
07-08-2019 00:00,13.33,38.85,0.49,35.81,24.3,9.3,0.33,4.68,0,,,89.07,1.13,279.19,1000.94,27.52,55.61
08-08-2019 00:00,20.92,48.97,0.46,47.25,21.57,9.75,0.31,6.3,0,,,88.15,1.21,265.9,1000.12,27.81,86.16
09-08-2019 00:00,18.02,25.33,0.9,24.96,24,9.18,0.29,7.79,0,,,88.54,1.49,241.85,1000.32,27.6,70.01
10-08-2019 00:00,17.92,1.83,0.52,0.45,23.52,8.26,0.22,10.4,0,,,84.53,1.65,226.07,1001.68,28.24,69.63
11-08-2019 00:00,13.86,8.98,0.77,2.57,20.26,8.25,0.2,11.72,0,,,83.99,1.36,230.4,1004.22,28.25,64.58
12-08-2019 00:00,13.21,33.23,5.2,33.47,19.04,6.95,0.33,8.01,0,,,84.21,1.02,259.78,1005.04,28.47,63.13
13-08-2019 00:00,13.42,72.71,17.79,79.32,10.88,4.24,0.62,3.57,0.01,0.06,0.22,86.15,0.84,277.22,1005.27,28.19,58.66
14-08-2019 00:00,16.97,59.62,18.62,78.23,9.09,3.37,0.67,4.43,0.03,0.17,0.48,86.45,0.77,279.07,1005.95,28.07,74.01
15-08-2019 00:00,13.04,39.78,17.02,56.57,8.55,5.22,0.56,7.93,0,,,86.85,0.93,281.06,1006.72,27.85,52.19
16-08-2019 00:00,11.97,25.94,19.5,45.45,5.09,5.6,0.44,10.17,0,,,83.98,1.14,254.22,1006.4,28.31,51.12
17-08-2019 00:00,12.39,19.2,19.65,38.85,2.54,5.29,0.36,15.06,0,,,80.2,1.2,226.44,1006.35,28.59,56.47
18-08-2019 00:00,12.65,29.59,20.46,50.04,2.35,5.65,0.45,10.66,0,,,79.86,0.91,255.93,1007.92,28.85,56.05
19-08-2019 00:00,13.01,47.32,18.75,65.89,4.74,6.26,0.57,8.51,0,,,80.98,0.84,265.51,1009.04,28.59,55.42
20-08-2019 00:00,15.38,73.54,16.03,89.48,7.18,7.06,0.76,7.17,0,,,76.23,0.78,285.83,1009.02,29.41,79.93
21-08-2019 00:00,13,55.75,18.33,74.04,7.3,5.98,0.66,6.93,0,,,81.9,0.84,288.96,1008.27,28.58,62.8
22-08-2019 00:00,14.1,55.2,16.92,71.97,7.02,6.59,0.65,7.19,0,,,78.84,0.83,296.16,1007.52,28.97,66.15
23-08-2019 00:00,16.92,44.18,19.75,63.87,7.23,6.31,0.6,8.22,0.22,1.59,5.23,78.08,0.92,240.34,1007.35,29.24,60.53
24-08-2019 00:00,12.37,29.68,20.95,50.64,3.48,5.61,0.49,11.04,0.92,5.43,17.88,77.9,0.94,259.15,1006.95,28.9,49.3
25-08-2019 00:00,13.11,41.4,22.77,64.16,3.22,6.26,0.65,8.93,0.93,6.25,21.85,83.2,0.79,227.63,1006.03,27.6,47.52
26-08-2019 00:00,17.26,41.79,21.47,63.25,9.79,6.45,0.6,9.54,1.06,5.19,18.45,79.43,1.02,201.58,1005.76,28.36,59.68
27-08-2019 00:00,15.62,36.3,20.49,56.78,6.46,5.47,0.54,12.21,0.53,2.82,10.79,75.85,1.1,213.19,1004.57,29.06,58.54
28-08-2019 00:00,15.62,36.88,20.4,57.28,6.97,5.48,0.59,12.92,0.52,2.65,9.32,80.15,1.47,168.75,1004.81,28.68,51.1
29-08-2019 00:00,15.83,43.04,19.64,62.62,11.38,6.25,0.62,10.38,0.57,2.9,10.62,81.03,1.04,198.45,1005.23,29.1,51.16
30-08-2019 00:00,14.62,56.33,20.9,77.2,9.74,6.86,0.73,6.62,0.53,3.22,12.44,86.9,1,231.09,1003.89,28.14,39.99
31-08-2019 00:00,11.82,41.07,24.14,65.21,5.34,5.76,0.61,6.72,0.89,3.49,13.22,88.06,0.93,251.69,1002.61,27.59,39.85
01-09-2019 00:00,10.91,45.9,24.78,70.64,3.1,5.9,0.79,8.2,1.12,3.81,13.51,91.77,0.9,250.88,1003.64,26.33,31.66
02-09-2019 00:00,14.62,44.4,19.93,63.97,3.76,6.06,0.73,9.45,0.73,3.38,12.62,87.35,1.11,202.94,1005.07,27.64,44.19
03-09-2019 00:00,7.24,43.09,23.24,66.33,2.29,6.01,0.66,7.53,0.75,3.33,11.87,95.67,3.36,219.88,1004.63,25.86,17.22
04-09-2019 00:00,8.62,38.43,27.75,66.13,0.87,6.59,0.68,7.37,0.52,3.36,11.9,98.81,3.4,193.57,1003.22,24.89,20.9
05-09-2019 00:00,6.22,41.26,23.02,64.15,2.17,6.83,0.69,9.53,0.53,3.08,10.99,93.35,1.12,267.06,1002.27,26.55,16.88
06-09-2019 00:00,6.91,27.44,24.69,52.13,1.5,5.19,0.52,10.26,0.58,2.83,9.59,91.85,1.2,234.73,1002.8,26.63,25.59
07-09-2019 00:00,10.29,26.54,27.34,53.89,0.95,5.09,0.57,10.61,0.33,2.42,7.69,93.87,1.25,209.33,1003.15,26.23,30.07
08-09-2019 00:00,9.06,25.84,30.89,56.73,0.55,5.56,0.59,16.05,0.36,2.77,9.29,95.18,1.09,242.49,1004.71,25.93,23.41
